.model,serie,.type,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1
Arima,Alimentos y bebidas no alcohólicas,Test,2.4576121305953738,3.4735572454819597,2.9140068307901013,1.7877153840191422,2.15508620936706,0.7503352344401849,0.12811399132179113
Arima,Bebidas alcohólicas y productos del tabaco,Test,16.68755837104849,19.664363762265044,16.68755837104849,11.290835267434685,11.290835267434685,2.4958380778552955,-0.17038092193605142
Arima,"Electrodomésticos, muebles para el hogar",Test,5.176040228506153,7.651028306839696,6.070826812018213,4.707376931315913,5.478623842439035,0.828909578440144,0.12998826889535578
Arima,Equipos de informática para uso personal,Test,-2.868296082738344,12.585926217252183,10.81415975027836,-2.0992142043328985,6.240616567215544,0.9710793839617186,-0.13535306090343002
Arima,Papelería e útiles escolares,Test,-7.069678008825587,10.754849519529074,7.26374374208792,-7.357654945807489,7.525679184920522,1.231018395790891,0.046308020576388574
Arima,Prendas de vestir y textiles,Test,0.3863247596736119,3.3261439856214867,2.411821478586733,-0.21782218872697248,1.754410775631222,0.47899260826014006,-0.06600449880709107
Arima,Productos farmacéuticos y medicinales,Test,0.1908345365647495,1.756151637235444,1.5159429743315502,0.15234250998186458,1.3861286723905255,0.37379953131449983,0.5682792403065196
Arima,Productos para el aseo del hogar,Test,6.243513942390253,7.82729198777948,6.311426714399738,4.1814472872446835,4.2306791150600205,1.1099851402482794,0.09475100914937887
Arima,Repuestos y lubricantes para vehículo,Test,-1.2310066009179224,3.8516471802404717,3.3642025617632663,-1.2441333192955453,3.127678398422806,0.4843358578923607,-0.17251916275562273
Arima,Vehículos automotores y motocicletas,Test,6.808647693502197,14.193872152163255,9.064220379834001,4.9763597981464525,7.437360528670157,0.7079973413262214,0.28061441043803104
Deriva,Alimentos y bebidas no alcohólicas,Test,4.716615085357374,9.220676124606545,6.196113136807167,3.215205339770095,4.403899290673139,1.5954533647622045,-0.3416615178637931
Deriva,Bebidas alcohólicas y productos del tabaco,Test,37.135811322775446,78.84514868350011,37.135811322775446,17.327374036475117,17.327374036475117,5.554136194797282,0.008038957000863997
Deriva,"Electrodomésticos, muebles para el hogar",Test,2.652128357080609,8.108645174006249,6.969781014780825,1.9558795649532226,6.277079947080907,0.9516526202567546,-0.053311560228661535
Deriva,Equipos de informática para uso personal,Test,0.8324597763681297,26.296181960207406,22.028310378340343,-1.485243054291811,11.791729053984145,1.978076759164359,0.07259307349333875
Deriva,Papelería e útiles escolares,Test,20.45939927689932,47.62952384517234,25.049758793485122,11.107861701203113,17.361900248453647,4.245292094519979,0.41308506913208365
Deriva,Prendas de vestir y textiles,Test,15.231819948193927,58.53824789950097,27.08514857670565,2.686051549963545,15.698433668025642,5.379165115268753,0.06639625450134647
Deriva,Productos farmacéuticos y medicinales,Test,-1.9334454775115983,4.574530079364346,3.3288874499913144,-1.9268282906869587,3.12861760503381,0.8208333622537218,-0.2123849999814084
Deriva,Productos para el aseo del hogar,Test,8.031375777061216,10.999497621707775,8.208334856648573,5.275639830450953,5.4050031145074104,1.4435927294021413,-0.2940198441262475
Deriva,Repuestos y lubricantes para vehículo,Test,0.35935206757324945,4.080885683162768,3.786923750847218,0.2013431277177529,3.480681612902932,0.5451939738962156,0.031159026924251487
Deriva,Vehículos automotores y motocicletas,Test,5.455914642250542,18.028899221234056,11.251647595129725,3.0698327121398683,9.240728735844693,0.8788551302894632,0.33109525340675694
Global con variables indicadoras,Alimentos y bebidas no alcohólicas,Test,14.810805324184969,15.244881846675902,14.810805324184969,11.079713857725729,11.079713857725729,3.8136729700654404,0.32263369406061143
Global con variables indicadoras,Bebidas alcohólicas y productos del tabaco,Test,20.555440137059634,33.65299192602218,20.774571308550783,11.303043629948423,11.495892581648123,3.1071032064796547,0.049026878651182076
Global con variables indicadoras,"Electrodomésticos, muebles para el hogar",Test,-18.008025644338346,19.179815793515125,18.008025644338346,-16.808625940239462,16.808625940239462,2.458812515592978,-0.5995086458426104
Global con variables indicadoras,Equipos de informática para uso personal,Test,22.423865510389277,29.054332521563815,22.603935741131032,11.095221165813793,11.212460564735352,2.029766204817049,0.06047715006852643
Global con variables indicadoras,Papelería e útiles escolares,Test,-5.415880172433,10.430008485400942,7.713728011713929,-5.055521690048994,7.120834700775538,1.3072791964736692,0.14756279863863533
Global con variables indicadoras,Prendas de vestir y textiles,Test,0.06985536139475156,18.505292181724542,11.660964204848337,-3.5737342867557014,8.383492498289518,2.3158910014274383,0.16276655486760602
Global con variables indicadoras,Productos farmacéuticos y medicinales,Test,-5.414559877720974,5.65361334033566,5.414559877720974,-4.998524043228645,4.998524043228645,1.3351161480588367,0.4879567163176971
Global con variables indicadoras,Productos para el aseo del hogar,Test,15.803110947023148,16.538609549827697,15.803110947023148,10.77856016906483,10.77856016906483,2.779279410924588,0.021055644299082594
Global con variables indicadoras,Repuestos y lubricantes para vehículo,Test,-16.735323151925773,17.013984969938306,16.735323151925773,-15.477112739459843,15.477112739459843,2.40934276313182,-0.2676989567941392
Global con variables indicadoras,Vehículos automotores y motocicletas,Test,-13.924456739767232,18.108001605434705,17.35758584843302,-14.638424792808664,16.977998560896747,1.3557839634915498,0.39758451368963577
NNETAR,Alimentos y bebidas no alcohólicas,Test,2.802301797765793,3.3159444327082657,2.813853063130874,2.0843281198779957,2.093672868697592,0.7245463790598156,0.2738467657964318
NNETAR,Bebidas alcohólicas y productos del tabaco,Test,23.10279201273349,25.892203138889695,23.10279201273349,15.707116036737464,15.707116036737464,3.455318431136584,-0.034422607813313646
