.model;serie;.type;ME;RMSE;MAE;MPE;MAPE;MASE;ACF1
Promedio;Articulos de ferreteria y pinturas;Test; 43,34993763; 44,026019; 43,349938; 34,6482910;34,648291; 5,5613936; 0,026529323
Promedio;Bebidas alcoholicas, cigarros, cigarrillos y productos del tabaco;Test; 53,29546778; 87,609493; 53,295468; 29,4525821;29,452582; 7,9717412; 0,007303063
Promedio;Calzado, articulos de cuero y sucedaneos del cuero;Test; 35,02095634; 58,044800; 35,020956; 25,7772949;25,777295; 5,5716622; 0,084168957
Promedio;Electrodomesticos, muebles para el hogar;Test; 31,42586279; 32,384224; 31,425863; 28,5011632;28,501163; 4,2906434;-0,056090562
Promedio;Equipo de informatica y telecomunicaciones para uso personal o domestico.;Test;116,06145530;119,178858;116,061455; 62,4580402;62,458040;10,4217958; 0,116028574
Promedio;Libros, papeleria, periodicos, revistas y utiles escolares;Test; -1,16465696; 42,814920; 30,250312;-12,5791873;27,887404; 5,1276739; 0,407600125
Promedio;Otras mercancias para uso personal o domestico, no especificadas anteriormente;Test; 44,54619543; 56,926270; 44,546195; 31,4609266;31,460927; 7,4871192; 0,255177844
Promedio;Prendas de vestir y textiles;Test; 38,17072765; 68,140369; 38,846237; 23,1140192;23,936808; 7,7175000; 0,063750385
Promedio;Productos de aseo personal, cosmeticos y perfumeria;Test; 25,70162162; 27,210538; 25,701622; 22,8634601;22,863460; 4,6996940;-0,294936026
Promedio;Productos farmaceuticos y medicinales;Test;  8,75692308;  9,707139;  8,756923;  7,9133918; 7,913392; 2,1605073;-0,196297207
Promedio;Productos para el aseo del hogar;Test; 49,42162162; 50,082760; 49,421622; 33,8608078;33,860808; 8,6924975;-0,168962372
Promedio;Repuestos, partes, accesorios y lubricantes para vehiculo;Test; 19,78249480; 20,155520; 19,782495; 18,0701840;18,070184; 2,8496017;-0,051898803
Promedio;Total Comercio Minorista sin Combustibles;Test; 37,23022869; 40,068861; 37,230229; 29,2891626;29,289163; 6,9450394; 0,132726877
Promedio;Total Comercio Minorista sin Combustibles ni Vehiculos;Test; 38,26299376; 41,208619; 38,262994; 29,2725546;29,272555; 8,2066674; 0,054961246
Promedio;Vehiculos automotores y motocicletas;Test; 32,23322245; 36,492028; 32,233222; 28,5489671;28,548967; 2,5173111; 0,322194908
Suavizamientos exponenciales;Alimentos (viveres en general) y bebidas no alcoholicas;Test;  0,25942549;  2,935108;  2,325773;  0,1910079; 1,703543; 0,5984810; 0,156851098
Suavizamientos exponenciales;Artculos y utensilios de uso domestico;Test;  1,93191891;  4,640150;  3,352841;  1,4753351; 2,755919; 0,5632017;-0,016862412
Suavizamientos exponenciales;Articulos de ferreteria y pinturas;Test; -2,98945480;  4,093170;  3,282034; -2,4944568; 2,722192; 0,4210544;-0,322614163
Suavizamientos exponenciales;Bebidas alcoholicas, cigarros, cigarrillos y productos del tabaco;Test; 16,76277988; 19,299287; 16,799328; 11,2225794;11,254752; 2,5127820; 0,041702093
Suavizamientos exponenciales;Calzado, articulos de cuero y sucedaneos del cuero;Test;  8,20654127; 10,053294;  8,402871;  7,5842706; 7,788144; 1,3368555; 0,481265360
Suavizamientos exponenciales;Electrodomesticos, muebles para el hogar;Test;  3,95231540;  6,714654;  5,537003;  3,5624500; 5,004535; 0,7559795; 0,081323285
Suavizamientos exponenciales;Equipo de informatica y telecomunicaciones para uso personal o domestico.;Test;-12,86370408; 15,544928; 13,213373; -7,4279420; 7,616240; 1,1865014;-0,266664085
Suavizamientos exponenciales;Libros, papeleria, periodicos, revistas y utiles escolares;Test;-11,92634488; 14,416069; 11,926345;-11,4123539;11,412354; 2,0216124; 0,019747774
Suavizamientos exponenciales;Otras mercancias para uso personal o domestico, no especificadas anteriormente;Test; -1,93511294;  6,584516;  4,974197; -0,8790980; 3,485256; 0,8360401; 0,460300836
Suavizamientos exponenciales;Prendas de vestir y textiles;Test; -1,72437018;  2,957686;  2,253820; -1,7992675; 2,025865; 0,4477617;-0,240874889
Suavizamientos exponenciales;Productos de aseo personal, cosmeticos y perfumeria;Test;  2,82718977;  5,487277;  4,300532;  2,4904262; 3,837125; 0,7863778; 0,085790554
Suavizamientos exponenciales;Productos farmaceuticos y medicinales;Test; -0,25776507;  1,957455;  1,602323; -0,2442845; 1,451635; 0,3953249; 0,552121411
Suavizamientos exponenciales;Productos para el aseo del hogar;Test; -3,02655387;  4,992110;  4,153057; -2,0992769; 2,882282; 0,7304584; 0,014030107
Suavizamientos exponenciales;Repuestos, partes, accesorios y lubricantes para vehiculo;Test;  2,27727040;  4,029123;  3,048687;  2,0224556; 2,746882; 0,4391530; 0,027668668
Suavizamientos exponenciales;Total Comercio Minorista sin Combustibles;Test;  0,50803051;  2,803450;  2,248784;  0,3867033; 1,781546; 0,4194949; 0,014938695
Suavizamientos exponenciales;Total Comercio Minorista sin Combustibles ni Vehiculos;Test;  0,86461662;  2,958575;  2,491123;  0,7152011; 1,931804; 0,5342974; 0,196575308
Suavizamientos exponenciales;Vehiculos automotores y motocicletas;Test; -1,04976105; 10,122562;  7,411868; -2,0845491; 6,512822; 0,5788431; 0,434792857
